First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Shana,Dobson,Danger,"5' 6""",125 lbs.,"69.0""",Orthodox,4,5,0,0,3.34,37%,5.2,50%,0.84,50%,14%,0
AJ,Dobson,,"6' 1""",185 lbs.,"76.0""",Orthodox,7,2,0,0,4.38,47%,5.25,47%,1.82,75%,64%,0.3
David,Dodd,,"6' 2""",200 lbs.,--,Orthodox,4,7,0,0,0,0%,0,0%,0,0%,0%,0
John,Dodson,The Magician,"5' 3""",135 lbs.,"66.0""",Orthodox,22,12,0,0,3.2,40%,3.58,61%,0.71,28%,82%,0
Joe,Doerksen,El Dirte,"6' 0""",185 lbs.,"75.0""",Orthodox,51,16,0,0,1.43,42%,2.79,50%,2.02,33%,33%,2.3
Mike,Dolce,Skull Cracker,"5' 11""",185 lbs.,--,,5,10,0,0,0,0%,0,0%,0,0%,0%,0
Roman,Dolidze,,"6' 2""",185 lbs.,"76.0""",Orthodox,12,2,0,0,3.02,44%,3.01,55%,1.72,50%,33%,1.7
Cameron,Dollar,,"5' 11""",155 lbs.,--,Orthodox,11,5,0,0,5.04,38%,2.94,61%,0,0%,0%,0
CB,Dollaway,The Doberman,"6' 2""",185 lbs.,"76.0""",Orthodox,17,9,0,0,2.65,47%,2.58,54%,3.55,54%,62%,1.2
Dennis,Dombrow,,--,145 lbs.,--,,7,5,0,0,0,0%,0,0%,0,0%,0%,0
OJ,Dominguez,,--,--,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
John,Donaldson,J.T.,"5' 8""",145 lbs.,--,,2,2,0,0,1.21,23%,4.22,51%,0,0%,0%,0
Cody,Donovan,Donnybrook,"6' 3""",205 lbs.,"74.0""",Orthodox,8,5,0,0,5.61,59%,5.44,45%,1.67,28%,0%,1.7
Houston,Dorr,,"6' 1""",210 lbs.,--,Orthodox,1,2,0,0,0,0%,0,0%,0,0%,0%,0
Rafael,Dos Anjos,,"5' 8""",170 lbs.,"70.0""",Southpaw,32,15,0,0,3.52,47%,3.19,60%,2.01,35%,56%,0.6
Junior,Dos Santos,Cigano,"6' 4""",238 lbs.,"77.0""",Orthodox,21,9,0,0,4.49,47%,3.33,56%,0.3,50%,81%,0.1
Geronimo,dos Santos,Mondragon,"6' 3""",264 lbs.,--,Orthodox,39,19,0,0,1.09,33%,8.73,41%,0,0%,33%,0
Antonio,Dos Santos,Junior Alpha,"5' 10""",185 lbs.,--,Orthodox,6,4,0,0,5.4,51%,3.94,43%,0,0%,100%,0
Anderson,Dos Santos,Berinja,"5' 5""",135 lbs.,"70.0""",Orthodox,21,9,0,0,2.7,25%,5.37,49%,0.98,14%,66%,0.7
Acacio,Dos Santos,Pequeno,"6' 4""",205 lbs.,"79.0""",Orthodox,14,5,0,0,1.27,41%,1.4,43%,0,0%,31%,0
Felipe,dos Santos,Lipe Detona,"5' 7""",125 lbs.,"70.0""",Orthodox,7,1,0,0,6.6,32%,7.47,38%,0,0%,0%,0
Tiago,dos Santos e Silva,Trator,"5' 9""",145 lbs.,"70.0""",Orthodox,20,7,2,0,3.69,35%,4.23,59%,0.63,11%,33%,0.3
Oleksandr,Doskalchuk,,"5' 6""",125 lbs.,--,Southpaw,10,2,0,0,0,0%,0,0%,0,0%,0%,0
David,Douglas,Tarzan,"5' 11""",155 lbs.,--,,9,7,0,0,0,0%,0,0%,0,0%,0%,0
Damion,Douglas,,--,170 lbs.,--,,4,1,0,0,0,0%,0,0%,0,0%,0%,0
Cedric,Doumbe,,"5' 10""",170 lbs.,--,,2,0,0,0,0,0%,0,0%,0,0%,0%,0
John,Dowdy,,--,--,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Jordan,Dowdy,,--,170 lbs.,--,,4,3,0,0,2.11,44%,2.63,50%,0,0%,0%,0
Danny,Downes,,"6' 0""",155 lbs.,"72.0""",Orthodox,8,3,0,0,1.66,34%,3.53,37%,0,0%,37%,0.5
Derek,Downey,,"6' 1""",185 lbs.,--,Orthodox,11,4,0,0,0.32,100%,3.36,12%,2.4,16%,0%,0
John,Doyle,The Iron Bull,"5' 11""",205 lbs.,--,Orthodox,11,22,0,0,3.5,44%,10.51,27%,0,0%,0%,0
Edson,Drago,,"6' 4""",220 lbs.,--,Orthodox,11,7,0,0,1.16,40%,2.39,36%,0,0%,55%,0
Kyle,Driscoll,KD,"5' 11""",145 lbs.,"74.0""",Orthodox,12,3,0,0,2.73,32%,2.6,58%,2,18%,0%,0
Chris,Drumm,,"5' 8""",145 lbs.,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Tomasz,Drwal,Gorilla,"6' 1""",205 lbs.,"76.0""",Orthodox,21,5,1,0,3.29,38%,2.26,57%,3.55,60%,82%,0.4
Robert,Drysdale,,"6' 3""",205 lbs.,--,Orthodox,7,0,0,0,0,0%,0,0%,7.32,100%,0%,21.9
Dricus,Du Plessis,Stillknocks,"6' 1""",185 lbs.,"76.0""",Switch,20,2,0,0,6.95,55%,3.79,53%,2.72,50%,40%,1.1
Hugo,Duarte,,"6' 0""",240 lbs.,--,Orthodox,6,3,0,0,0,0%,0,0%,0,0%,0%,0
Antonio,Duarte,Tigre,"5' 7""",135 lbs.,--,,19,7,0,0,4.55,40%,4.18,57%,0,0%,60%,0
Joe,Duarte,,--,155 lbs.,--,,10,4,0,0,2.27,38%,4,53%,3,50%,69%,1
