First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Francis,Marshall,Fire,"5' 9""",145 lbs.,"72.0""",Orthodox,7,2,0,0,3.66,33%,4.07,53%,3.29,50%,0%,0.7
Jack,Marshman,The Hammer,"6' 0""",185 lbs.,"73.0""",Orthodox,23,10,0,0,2.74,25%,4.19,56%,0,0%,20%,0
Terry,Martin,,"5' 8""",185 lbs.,"71.0""",Orthodox,23,11,0,0,2.82,43%,3.13,54%,3.1,42%,92%,0
Eric,Martin,,--,--,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Justin,Martin,,"6' 0""",185 lbs.,--,,4,3,0,0,0,0%,0,0%,0,0%,0%,0
Dave,Martin,,"6' 0""",205 lbs.,--,,0,2,0,0,0,0%,0,0%,0,0%,0%,0
Joe,Martin,,"5' 9""",170 lbs.,--,,6,8,0,0,0.73,40%,2.4,45%,0,0%,16%,0
Anthony Rocco,Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,17,6,0,0,2.68,37%,2.59,58%,0.71,27%,68%,1
Mallory,Martin,,"5' 4""",115 lbs.,"63.0""",Orthodox,7,5,0,0,4.42,48%,6.64,55%,2.28,43%,25%,0.3
Michal,Martinek,,"6' 2""",230 lbs.,--,Southpaw,7,1,0,0,2.45,53%,4.29,51%,0,0%,0%,0
Rainy,Martinez,,"6' 0""",199 lbs.,--,Orthodox,0,2,0,0,0,0%,0,0%,0,0%,0%,0
Danny,Martinez,The Gremlin,"5' 6""",125 lbs.,"67.0""",Orthodox,21,8,0,0,2.73,28%,3.77,63%,3,45%,36%,0
Alonzo,Martinez,Zo Diddy,"5' 10""",155 lbs.,--,,42,20,1,0,3.07,27%,7.33,52%,0,0%,0%,0
Henry,Martinez,Sicario,"5' 7""",155 lbs.,"69.0""",Southpaw,9,4,0,0,2.79,25%,4.01,60%,0,0%,80%,0
Jonathan,Martinez,Dragon,"5' 8""",135 lbs.,"70.0""",Southpaw,19,4,0,0,4.64,50%,3.76,58%,0.44,41%,69%,0.1
Poppies,Martinez,The Tachi Kid,"5' 9""",145 lbs.,--,,29,11,0,0,2.88,50%,2.16,51%,1.54,33%,50%,9.2
Andrew,Martinez,Mickey D,"5' 9""",215 lbs.,--,,9,6,0,0,3.4,31%,2.3,47%,1.5,50%,0%,0
Mana,Martinez,ManaBoi,"5' 10""",135 lbs.,"70.0""",Orthodox,10,4,0,0,4.33,48%,4.94,50%,0.72,42%,25%,0.5
Victor,Martinez,The Brick,"5' 8""",155 lbs.,"70.0""",Orthodox,13,5,0,0,8.65,50%,7.45,54%,0.86,50%,80%,0
Roque,Martinez,,"5' 10""",250 lbs.,"72.0""",Orthodox,15,8,2,0,3.28,53%,4.9,56%,0.38,50%,53%,0.4
Melissa,Martinez,Super Mely,"5' 2""",115 lbs.,"66.0""",Southpaw,7,1,0,0,3,57%,2.53,45%,1,50%,0%,0
Wagner da Conceicao,Martins,Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,9,8,0,0,1.91,37%,5.43,42%,2.2,100%,100%,0
Adriano,Martins,,"5' 10""",155 lbs.,"72.0""",Southpaw,28,9,0,0,1.8,38%,2.14,65%,0.83,80%,81%,0.4
Lucas,Martins,Mineiro,"6' 0""",145 lbs.,"72.0""",Southpaw,19,3,0,0,2.87,35%,4.14,60%,0,0%,76%,0.5
Max,Martyniouk,Payne,--,155 lbs.,--,,1,1,0,0,0,0%,0,0%,0,0%,0%,0
Bristol,Marunde,,"6' 1""",170 lbs.,"75.0""",Orthodox,16,10,0,0,1.42,21%,4.4,47%,1.6,33%,14%,0
Shoji,Maruyama,,"5' 7""",139 lbs.,--,Orthodox,12,9,1,0,1.4,63%,0.27,55%,0,0%,54%,0
Kazuma,Maruyama,Gluttony,"5' 11""",155 lbs.,"72.0""",Orthodox,11,7,0,0,3.83,41%,2.23,53%,4.79,33%,100%,0
Mike,Massenzio,The Master of Disaster,"6' 2""",185 lbs.,"73.0""",Southpaw,13,9,0,0,2.08,45%,3.59,54%,2.74,24%,50%,1.4
Jameel,Massouh,,"5' 10""",145 lbs.,"72.0""",Orthodox,26,9,0,0,1.91,54%,2.62,55%,0.67,15%,50%,0.7
Tiffany,Masters,Rainbow Renegade,"5' 3""",115 lbs.,"65.0""",Orthodox,2,1,0,0,3.53,62%,2.58,50%,3.06,60%,0%,0
Jorge,Masvidal,Gamebred,"5' 11""",170 lbs.,"74.0""",Orthodox,35,17,0,0,4.05,47%,3.05,64%,1.38,59%,72%,0.3
Al,Matavao,Sweetness,"5' 8""",205 lbs.,"67.0""",Orthodox,8,3,0,0,7.84,46%,6.7,58%,0,0%,0%,0
Tateki,Matsuda,Tech,"5' 7""",125 lbs.,--,Orthodox,13,8,0,0,3.2,34%,3.43,69%,0,0%,16%,0
Daijiro,Matsui,,"5' 9""",200 lbs.,--,Orthodox,13,29,7,0,0.84,45%,1.69,55%,1.83,30%,43%,0.4
Koichiro,Matsumoto,,"5' 7""",145 lbs.,--,,15,3,1,0,1.9,26%,3.5,31%,0,0%,0%,0
Jean,Matsumoto,,"5' 6""",135 lbs.,"68.0""",Orthodox,14,0,0,0,6.67,36%,6.6,49%,0,0%,66%,0
Koyomi,Matsushima,,"5' 7""",145 lbs.,"66.0""",Orthodox,13,6,0,0,2.7,47%,2.83,59%,9,52%,33%,0
Naoki,Matsushita,,"5' 6""",155 lbs.,--,Orthodox,12,16,11,0,3.3,32%,2.2,63%,1.5,100%,0%,0
AJ,Matthews,,"5' 11""",185 lbs.,--,,8,7,0,0,5.11,52%,4.96,51%,0,0%,100%,0
Jake,Matthews,The Celtic Kid,"5' 11""",170 lbs.,"73.0""",Orthodox,19,6,0,0,3.27,45%,2.33,60%,1.71,41%,61%,0.7
Connor,Matthews,The Controller,"5' 8""",145 lbs.,"71.0""",Switch,7,1,0,0,5.13,44%,5.57,55%,3.5,58%,50%,1
Claudio,Mattos,Popeye,--,185 lbs.,--,Orthodox,5,4,0,0,0,0%,3.53,0%,0,0%,0%,0
John,Matua,,"6' 2""",400 lbs.,--,Orthodox,1,4,0,0,0,0%,0,0%,0,0%,0%,0
Francesco,Maturi,,--,--,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Vladimir,Matyushenko,The Janitor,"6' 0""",205 lbs.,"74.0""",Orthodox,27,8,0,0,1.9,44%,1.62,59%,3.25,46%,70%,0.1
Miranda,Maverick,Fear The,"5' 3""",125 lbs.,"65.0""",Southpaw,14,5,0,0,3.71,46%,2.62,59%,2.41,48%,42%,0.5
Nick,Maximov,,"6' 0""",185 lbs.,"76.0""",Southpaw,8,2,0,0,1.93,45%,2.64,46%,4.16,45%,35%,0.2
Elaina,Maxwell,Beef,"5' 8""",145 lbs.,--,Orthodox,7,4,0,0,2.07,60%,2.4,53%,0,0%,50%,1
Jeremy,May,,"6' 1""",185 lbs.,--,,13,10,0,0,0,0%,0,0%,0,0%,0%,0
Jack,May,The Outlaw,"6' 8""",255 lbs.,--,Switch,9,3,0,0,1.52,38%,3.29,33%,0.91,33%,20%,0
Don'Tale,Mayes,Lord Kong,"6' 6""",260 lbs.,"81.0""",Orthodox,10,6,0,0,3.6,44%,3.84,46%,0.79,43%,60%,0
Gray,Maynard,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,7,1,0,1.92,32%,2.64,66%,2.91,47%,81%,0.7
Brooke,Mayo,The Bully,"5' 7""",125 lbs.,--,,0,1,0,0,1.92,34%,3.2,63%,3.2,60%,0%,2.1
Gina,Mazany,Danger,"5' 6""",125 lbs.,"68.0""",Southpaw,7,6,0,0,3.73,50%,3.52,50%,4.34,52%,33%,0.2
Sabina,Mazo,Colombian Queen,"5' 7""",125 lbs.,"70.0""",Orthodox,9,4,0,0,6.1,43%,4.35,57%,0.65,80%,59%,0.2
Scott,McAfee,,"5' 8""",155 lbs.,--,Orthodox,14,7,0,0,0,0%,1.33,50%,0,0%,0%,0
Bobby,McAndrews,,--,--,--,Orthodox,1,3,0,0,2.56,83%,1.03,50%,0,0%,33%,7.7
Michael,McBride,,"6' 1""",155 lbs.,--,Orthodox,8,3,0,0,4.08,48%,5.85,40%,1.85,42%,30%,1.2
Ian,McCall,Uncle Creepy,"5' 5""",125 lbs.,"64.0""",Orthodox,13,5,1,0,3.59,39%,3.25,67%,2.08,30%,88%,0
Molly,McCann,Meatball,"5' 4""",125 lbs.,"62.0""",Orthodox,13,6,0,0,5.68,49%,4.9,63%,1.65,35%,43%,0.5
Charles,McCarthy,Chainsaw,"5' 10""",185 lbs.,"71.0""",Orthodox,10,5,0,0,0.18,12%,4.03,56%,2.67,60%,0%,2.7
Sean,McCorkle,,"6' 7""",265 lbs.,"81.0""",Orthodox,17,7,0,0,0.85,44%,2.48,52%,2.12,40%,33%,4.2
Kris,McCray,Savage,"6' 0""",170 lbs.,"76.0""",Orthodox,8,5,0,0,2.69,45%,2.57,54%,2.88,55%,38%,0
Tamdan,McCrory,The Barncat,"6' 4""",185 lbs.,"76.0""",Switch,14,5,0,0,2.07,49%,1.6,46%,2.28,50%,33%,2.5
Rob,McCullough,Razor,"5' 9""",155 lbs.,"69.0""",Orthodox,19,8,0,0,2.47,36%,2.84,59%,0.46,100%,68%,0
Justin,McCully,The Insane One,"6' 1""",225 lbs.,"73.0""",Orthodox,11,5,2,0,1.58,37%,2.02,46%,1.28,44%,43%,0
Robert,McDaniel,Bubba,"6' 3""",185 lbs.,"75.0""",Southpaw,28,10,0,0,1.64,44%,1.98,56%,0.93,50%,50%,1.4
Michael,McDonald,The Black Sniper,"5' 11""",205 lbs.,--,Orthodox,1,1,0,0,0,0%,0.4,50%,0,0%,0%,0
Scott,McDonald,,--,--,--,,1,0,0,0,0,0%,0,0%,0,0%,0%,0
Michael,McDonald,Mayday,"5' 9""",135 lbs.,"70.0""",Orthodox,17,4,0,0,2.69,42%,2.76,57%,1.09,66%,52%,1.4
Josh,McDonald,,--,185 lbs.,--,,9,5,0,0,0.8,57%,3.4,33%,9,50%,0%,0
Miles,McDonald,,"5' 7""",115 lbs.,--,,2,1,0,0,5.1,45%,4,43%,0,0%,100%,1
Justin,McElfresh,,"6' 6""",205 lbs.,--,Orthodox,6,4,0,0,4.59,26%,12.79,41%,0,0%,0%,0
Drew,McFedries,The Massacre,"6' 0""",185 lbs.,"72.0""",Southpaw,12,7,0,0,5.13,51%,4.56,52%,1.42,100%,56%,0.7
Liam,McGeary,,"6' 6""",205 lbs.,--,,12,2,0,0,1.28,48%,1.92,50%,0.51,100%,0%,2.5
Gan,McGee,The Giant,"6' 10""",265 lbs.,--,Orthodox,13,5,0,0,2.2,29%,2.31,59%,0.65,25%,83%,0
Court,McGee,The Crusher,"5' 11""",170 lbs.,"75.0""",Orthodox,22,12,0,0,4.63,37%,3.68,60%,1.89,25%,69%,0.4
Marcus,McGhee,The Maniac,"5' 8""",135 lbs.,"69.0""",Orthodox,8,1,0,0,3.42,48%,1.81,77%,0,0%,100%,1.6
Ryan,McGillivray,The Kid,"5' 11""",170 lbs.,--,,12,0,1,0,1.27,20%,2.2,52%,0,0%,44%,0
Ryan,McGivern,,"6' 0""",185 lbs.,--,Orthodox,13,7,0,0,2.22,29%,2.22,57%,0,0%,0%,0
Jack,McGlaughlin,,--,--,--,Orthodox,1,4,0,0,0,0%,0,0%,0,0%,0%,0
Conor,McGregor,The Notorious,"5' 9""",155 lbs.,"74.0""",Southpaw,22,6,0,0,5.32,49%,4.66,54%,0.67,55%,66%,0.1
Greg,McIntyre,,"5' 10""",155 lbs.,--,Orthodox,6,4,0,0,0.79,30%,1.36,41%,5.09,50%,0%,0
Antonio,McKee,Mandingo,"5' 8""",155 lbs.,--,Southpaw,29,6,2,0,1.37,45%,0.74,74%,1.47,33%,57%,0
AJ,McKee,Mercenary,"5' 10""",145 lbs.,--,,8,0,0,0,2.75,32%,0.92,80%,11.01,100%,100%,11
Rhys,McKee,Skeletor,"6' 2""",170 lbs.,"78.0""",Orthodox,10,5,1,0,6.06,48%,9.47,44%,0,0%,33%,0
Cory,McKenna,Poppins,"5' 3""",115 lbs.,"58.0""",Orthodox,8,2,0,0,3.01,40%,3.22,48%,2.04,56%,71%,0.5
Tim,McKenzie,,"6' 0""",185 lbs.,"74.0""",Orthodox,14,9,0,0,1.37,54%,2.96,44%,0,0%,28%,2.1
Cody,McKenzie,,"6' 0""",155 lbs.,"72.0""",Switch,16,10,0,0,1.74,34%,2.5,67%,2.5,25%,14%,2.5
Terrance,McKinney,T. Wrecks,"5' 10""",155 lbs.,"73.0""",Switch,15,6,0,0,4.46,52%,2.51,44%,3.52,36%,85%,1
Brian,McLaughlin,,"5' 9""",155 lbs.,--,,6,2,0,0,0,0%,0,0%,0,0%,0%,0
Jason,McLean,,"5' 5""",145 lbs.,--,,6,7,0,0,0,0%,0,0%,0,0%,0%,0
Garreth,McLellan,Soldier Boy,"6' 1""",185 lbs.,"72.0""",Southpaw,13,6,0,0,3.56,54%,2.94,45%,1.15,22%,34%,0.9
Sara,McMann,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,6,0,0,2.26,46%,1.92,47%,4.38,65%,50%,0.5
James,McSweeney,The Hammer,"6' 4""",230 lbs.,"77.0""",Switch,15,15,0,0,3.94,55%,4.33,42%,0.52,33%,100%,1.1
Charles,McTorry,,--,--,--,,3,0,0,0,0,0%,0,0%,0,0%,0%,0
Daniel,McWilliams,The Animal,"6' 1""",185 lbs.,--,,15,37,0,0,3.36,77%,0,0%,0,0%,100%,21.6
Tim,Means,The Dirty Bird,"6' 2""",170 lbs.,"75.0""",Orthodox,33,15,1,0,5.1,49%,3.65,60%,1.16,42%,65%,0.2
Yancy,Medeiros,,"5' 10""",155 lbs.,"75.0""",Orthodox,15,8,0,0,4.36,37%,5.67,47%,0.33,50%,73%,0.7
Anistavio,Medeiros,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,19,10,0,0,3.64,44%,5,47%,0,0%,0%,0
Kaline,Medeiros,The Dark Angel,"5' 3""",115 lbs.,--,,8,5,0,0,2.06,70%,0.29,83%,4.41,100%,0%,4.4
Marquel,Mederos,,"5' 10""",155 lbs.,"69.0""",Orthodox,8,1,0,0,5.78,60%,1.93,63%,0,0%,100%,0
Uros,Medic,The Doctor,"6' 1""",170 lbs.,"71.0""",Southpaw,9,1,0,0,6.97,61%,3.92,58%,0.53,100%,80%,0
Todd,Medina,El Tiburon,"5' 10""",193 lbs.,--,Southpaw,11,9,0,0,0,0%,0,0%,0,0%,0%,0
Jason,Medina,,"5' 9""",180 lbs.,--,,21,15,1,0,0,0%,0,0%,0,0%,0%,0
Jose,Medina,Chicho,"6' 0""",205 lbs.,"74.0""",Orthodox,11,3,0,0,1.6,26%,4.87,53%,0,0%,14%,0
Emil,Meek,Valhalla,"5' 11""",170 lbs.,"74.0""",Switch,9,5,1,0,2.52,39%,2.53,38%,0.25,33%,47%,1
Sanford Alton,Meeks,,"6' 5""",265 lbs.,"75.0""",Orthodox,1,1,0,0,0.71,42%,4.47,38%,7.06,25%,0%,0
Gerald,Meerschaert,GM3,"6' 1""",185 lbs.,"77.0""",Southpaw,35,17,0,0,3.3,44%,3.5,53%,2.01,37%,34%,1.5
Frank,Megallon,,"5' 10""",185 lbs.,--,Southpaw,2,3,0,0,1.14,21%,5.32,54%,0,0%,0%,0
Derrick,Mehmen,Caveman,"6' 4""",205 lbs.,--,,19,9,0,0,1.93,14%,4.53,48%,1,16%,0%,0
Miika,Mehmet,,--,205 lbs.,--,Orthodox,3,5,0,0,0.33,12%,7.29,24%,0,0%,0%,0
Jordan,Mein,Young Gun,"6' 0""",170 lbs.,"73.0""",Orthodox,31,12,0,0,3.35,44%,2.55,69%,1.56,58%,66%,0.2
Bryce,Mejia,,"6' 1""",170 lbs.,--,,3,1,0,0,3.49,62%,6.98,50%,0,0%,0%,0
Brian,Melancon,,"5' 8""",170 lbs.,--,Orthodox,7,3,0,0,4.18,49%,3.64,64%,2.02,100%,66%,0
Brandon,Melendez,The Murderer,"5' 11""",155 lbs.,--,Southpaw,25,25,0,0,0.84,26%,0.56,63%,0,0%,25%,0
Gilbert,Melendez,El Nino,"5' 9""",145 lbs.,"73.0""",Orthodox,22,8,0,0,3.44,33%,2.53,63%,1.64,41%,71%,0.2
Nair,Melikyan,Ahalkalakski,"5' 6""",155 lbs.,--,,11,0,0,0,0,0%,0,0%,0,0%,0%,0
Marcelo,Mello,,"5' 7""",170 lbs.,--,Southpaw,1,0,0,0,0,0%,0,0%,0,0%,0%,0
Fabio,Mello,,"5' 5""",155 lbs.,--,Southpaw,11,8,0,0,0.86,35%,3.94,50%,0,0%,0%,0
Vanessa,Melo,,"5' 5""",135 lbs.,"65.0""",Orthodox,11,8,0,0,3.48,30%,6.13,59%,0,0%,71%,0
Antonio,Mendes,Samurai,"6' 3""",205 lbs.,"77.0""",Southpaw,18,13,0,0,1.34,47%,6.85,22%,2.51,50%,100%,0
Chad,Mendes,Money,"5' 6""",145 lbs.,"66.0""",Orthodox,18,5,0,0,2.78,49%,2.35,67%,4.13,55%,100%,0.3
Augusto,Mendes,Tanquinho,"5' 6""",135 lbs.,"65.0""",Orthodox,6,2,0,0,2.42,34%,3.91,56%,1.75,33%,80%,0
Eddie,Mendez,,"5' 10""",185 lbs.,--,,8,3,1,0,1.71,33%,3.43,11%,0,0%,0%,0
Mateus,Mendonca,Bocao,"5' 6""",125 lbs.,"71.0""",Orthodox,10,2,0,0,2,38%,6.25,26%,1.47,14%,40%,0
Luis,Mendoza,,--,155 lbs.,--,,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Pietro,Menga,,"5' 7""",125 lbs.,"68.0""",Southpaw,13,0,0,0,0,0%,0,0%,0,0%,0%,0
Alonzo,Menifield,Atomic,"6' 0""",205 lbs.,"76.0""",Orthodox,14,3,1,0,3.82,57%,3.09,52%,0.62,30%,75%,0.3
Ivan,Menjivar,The Pride of El Salvador,"5' 6""",145 lbs.,"64.0""",Orthodox,25,12,0,0,2.78,37%,2.76,65%,0.56,28%,38%,1
Dave,Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,45,17,2,0,1.84,44%,1.99,42%,0.46,50%,57%,2.5
Steve,Mensing,The Machine,"5' 11""",185 lbs.,--,Orthodox,9,13,2,0,0,0%,9.51,42%,0,0%,0%,0
Buck,Meredith,,"6' 2""",185 lbs.,--,,3,3,0,0,0,0%,0,0%,0,0%,0%,0
Adam,Meredith,,"6' 2""",170 lbs.,--,,5,3,0,0,2.63,50%,2.11,55%,7.89,100%,100%,7.9
Nick,Meregali,,--,--,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Joe,Merritt,,"6' 0""",170 lbs.,--,Orthodox,7,2,0,0,1.53,58%,0.73,66%,0,0%,68%,0
Jeremiah,Metcalf,,"6' 1""",185 lbs.,--,Orthodox,13,7,0,0,1.74,59%,0.27,60%,4.02,66%,100%,2
Jonathan,Meunier,District,"6' 3""",170 lbs.,--,Switch,8,1,0,0,3.47,50%,1.43,69%,0.58,33%,58%,0
Yaotzin,Meza,,"5' 9""",145 lbs.,"71.0""",Orthodox,21,11,0,0,1.43,41%,1.62,64%,1.06,20%,18%,1.4
Guy,Mezger,,"6' 1""",200 lbs.,--,Orthodox,30,14,2,0,2.3,32%,1.36,72%,0.39,50%,88%,0
Brandon,Michaels,,"5' 9""",185 lbs.,--,,4,14,0,0,0,0%,0,0%,0,0%,0%,0
Andreas,Michailidis,The Spartan,"6' 0""",170 lbs.,"76.0""",Orthodox,13,6,0,0,2.9,51%,3.57,44%,1.12,27%,50%,0
David,Michaud,BullDawg,"5' 9""",155 lbs.,--,Orthodox,11,3,0,0,3.25,43%,4.45,54%,2.53,58%,77%,0.7
Chris,Mickle,,"5' 9""",145 lbs.,--,Orthodox,30,21,2,0,3.03,27%,9.7,48%,0,0%,0%,0
Zachary,Micklewright,,"6' 0""",155 lbs.,"74.0""",Southpaw,15,3,0,0,5.56,53%,4.72,54%,0.7,12%,100%,0
Kristof,Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,6,10,0,0,0.7,43%,2.89,49%,0,0%,0%,0
Keith,Mielke,,"5' 8""",185 lbs.,--,,0,5,0,0,0,0%,0,0%,0,0%,0%,0
Chris,Mierzwiak,,"6' 1""",185 lbs.,--,,5,3,0,0,1.6,61%,1.73,48%,2,28%,0%,1
Gabriel,Miglioli,Biel,"5' 8""",170 lbs.,--,,9,9,0,0,0,0%,0,0%,0,0%,0%,0
Bojan,Mihajlovic,,"5' 11""",205 lbs.,"73.0""",Orthodox,10,6,0,0,1.23,35%,5.95,47%,0,0%,33%,0
Billy,Miles,The Kid,"5' 10""",170 lbs.,--,Orthodox,2,2,0,0,0,0%,1.25,33%,0,0%,0%,0
Pat,Miletich,The Croatian Sensation,"5' 10""",170 lbs.,--,Orthodox,29,7,2,0,1.79,45%,1.66,63%,1.96,100%,54%,1
Curtis,Millender,Curtious,"6' 2""",170 lbs.,"76.0""",Orthodox,17,5,0,0,3.86,46%,2.95,61%,0.43,100%,57%,0
Phillip,Miller,,"5' 11""",185 lbs.,--,Orthodox,16,0,0,0,1.61,54%,1.93,50%,3.62,25%,100%,0.6
Jason,Miller,Mayhem,"6' 1""",185 lbs.,--,Orthodox,23,10,0,0,1.83,43%,2.3,49%,1.31,28%,43%,1.3
Dan,Miller,,"6' 1""",185 lbs.,"74.0""",Orthodox,14,8,0,0,2.03,36%,3.06,49%,1.67,54%,47%,1.8
Jim,Miller,A-10,"5' 8""",155 lbs.,"71.0""",Southpaw,36,17,0,0,2.86,41%,3.08,58%,1.56,43%,48%,1.8
Cole,Miller,Magrinho,"6' 1""",145 lbs.,"73.0""",Orthodox,21,11,0,0,3,33%,3.88,59%,0.6,36%,38%,1.8
Henry,Miller,Sentoryu,"5' 7""",270 lbs.,--,Southpaw,6,16,0,0,1.25,36%,2.16,54%,0.55,25%,60%,0
Micah,Miller,Maverick,"6' 0""",145 lbs.,--,Orthodox,20,8,0,0,1.33,33%,2.15,54%,0.98,37%,21%,2
Aaron,Miller,Blood Spiller,"5' 9""",145 lbs.,--,,14,10,0,0,0,0%,0,0%,0,0%,0%,0
Mo,Miller,Moshow,"5' 8""",135 lbs.,"72.0""",Orthodox,6,0,0,0,1.87,45%,1.33,60%,4,80%,0%,0
Juliana,Miller,Killer,"5' 7""",125 lbs.,"66.0""",Orthodox,4,3,0,0,3.31,45%,4.75,32%,1.84,44%,0%,1.8
Eddy,Millis,,"6' 1""",185 lbs.,--,,0,2,0,0,0,0%,3.36,22%,0,0%,0%,7.2
Che,Mills,Beautiful,"6' 1""",170 lbs.,"76.0""",Orthodox,16,10,0,0,2.08,52%,2.87,43%,1.18,66%,58%,0
Adam,Milstead,The Prototype,"6' 3""",205 lbs.,"76.0""",Orthodox,8,4,0,0,3.85,46%,4.79,43%,0,0%,64%,0
Alberto,Mina,Soldier of God,"6' 0""",170 lbs.,"77.0""",Orthodox,13,1,0,0,3.23,38%,3.7,47%,1.85,20%,50%,0
Vitaly,Minakov,,"6' 2""",249 lbs.,--,,20,0,0,0,0,0%,0,0%,0,0%,0%,0
Darrick,Minner,,"5' 7""",145 lbs.,"69.0""",Orthodox,26,14,0,0,2.63,65%,2.28,35%,2.4,72%,66%,2.7
Mike,Minniger,,--,--,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Ikuhisa,Minowa,Minowaman,"5' 9""",181 lbs.,--,Orthodox,60,42,8,0,0.88,40%,1.66,49%,1.82,41%,5%,1.9
Carlton,Minus,Clutch,"5' 10""",170 lbs.,"75.0""",Orthodox,10,3,0,0,3.5,40%,4.97,50%,0,0%,58%,0
Stipe,Miocic,,"6' 4""",240 lbs.,"80.0""",Orthodox,20,4,0,0,4.82,53%,3.82,54%,1.86,34%,68%,0
Frank,Mir,,"6' 3""",264 lbs.,"79.0""",Southpaw,18,11,0,0,2.18,47%,3.84,38%,2.02,40%,54%,2
Juan,Miranda,,--,155 lbs.,--,,7,5,0,0,0,0%,0,0%,0,0%,0%,0
Mario,Miranda,,"6' 3""",185 lbs.,"74.0""",Orthodox,14,7,0,0,1.96,54%,2.46,36%,1.02,60%,54%,0
Vitor,Miranda,Lex Luthor,"6' 1""",185 lbs.,"77.0""",Orthodox,12,5,0,0,2.98,45%,2.95,58%,0.95,55%,50%,0.2
Gabriel,Miranda,Fly,"5' 11""",145 lbs.,"71.0""",Orthodox,17,6,0,0,3.52,51%,6.88,39%,4.8,40%,0%,2.4
Damir,Mirenic,Wolf,"6' 0""",185 lbs.,--,Orthodox,9,4,0,0,0.84,50%,9.86,35%,0,0%,0%,0
Kazuo,Misaki,Hitman,"5' 8""",183 lbs.,--,Orthodox,25,11,2,0,2.85,40%,2.74,63%,0.72,38%,51%,0.6
Toby,Misech,2 Quick,"5' 8""",145 lbs.,--,Southpaw,9,5,0,0,3.27,40%,7.73,46%,0,0%,0%,0
Dokonjonosuke,Mishima,,"5' 7""",155 lbs.,--,Southpaw,21,7,2,0,1.06,41%,1.22,52%,2.47,40%,25%,1.4
Felix Lee,Mitchell,,--,--,--,Orthodox,2,7,0,0,0,0%,0,0%,0,0%,0%,0
David,Mitchell,Daudi,"6' 0""",170 lbs.,"75.0""",Orthodox,22,7,0,0,1.74,32%,2.06,55%,0.66,50%,29%,2
Danny,Mitchell,The Cheesecake Assassin,"6' 2""",170 lbs.,--,Orthodox,19,9,1,0,2.53,49%,2.53,52%,0,0%,100%,3
Brad,Mitchell,,"5' 11""",145 lbs.,--,,4,2,0,0,1.15,33%,4.2,52%,0,0%,100%,1.9
Clay,Mitchell,,"6' 2""",185 lbs.,--,,1,2,0,0,1.63,85%,0,0%,0,0%,100%,4.1
Bryce,Mitchell,Thug Nasty,"5' 10""",145 lbs.,"70.0""",Southpaw,16,2,0,0,2.34,58%,1.64,58%,3.51,41%,33%,1.6
Maurice,Mitchell,The AK Kid,"5' 9""",145 lbs.,--,Orthodox,11,2,0,0,3.8,55%,3.54,60%,0,0%,100%,0
Terrence,Mitchell,,"5' 10""",135 lbs.,"74.0""",Orthodox,14,4,0,0,2.21,34%,8.85,41%,3.69,50%,0%,0
Roman,Mitichyan,,"5' 10""",170 lbs.,--,Orthodox,8,3,0,0,0.26,16%,2.7,43%,1.93,100%,25%,1.9
Matt,Mitrione,,"6' 3""",265 lbs.,"82.0""",Switch,12,5,0,0,3.55,50%,2.79,64%,0,0%,55%,0.7
Eiji,Mitsuoka,,"5' 7""",145 lbs.,--,Southpaw,18,9,2,0,1.49,49%,2.26,45%,2.3,36%,20%,1.6
Hiromitsu,Miura,,"5' 9""",170 lbs.,"71.0""",Orthodox,12,7,0,0,2.12,34%,2.12,58%,2.23,50%,69%,0.6
Jonathan,Mix,,"6' 0""",168 lbs.,--,,7,4,0,0,0,0%,0,0%,0,0%,0%,0
Tomoya,Miyashita,,"5' 7""",139 lbs.,--,Southpaw,17,9,7,0,1.67,65%,0.93,33%,4,80%,0%,2
Kazuyuki,Miyata,,"5' 8""",139 lbs.,--,Orthodox,15,9,0,0,2.04,52%,1.82,63%,4.31,46%,68%,0
Motoki,Miyazawa,,"5' 11""",168 lbs.,--,Southpaw,7,3,0,0,1.23,28%,3.91,61%,0,0%,0%,0
Takeya,Mizugaki,,"5' 7""",135 lbs.,"69.0""",Orthodox,21,11,2,0,3.37,37%,3.27,57%,1.46,57%,70%,0.1
,Mizuki,,"5' 3""",115 lbs.,"65.0""",Orthodox,15,6,0,0,4.56,50%,5.62,48%,0.33,14%,85%,0
Tatsuya,Mizuno,,"6' 1""",205 lbs.,--,Southpaw,16,12,1,0,2.25,37%,3.52,53%,1.19,25%,40%,3.6
