First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0,0,3.92,55%,1.86,49%,0.44,50%,58%,0.0,13,MiddleWeight,3568
Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0,0,0.00,0%,0.00,100%,0.00,0%,0%,0.0,21,WelterWeight,3569
Dmitri,Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,3570
Jeremy,Stephens,Lil' Heathen,"5' 9""",145 lbs.,"71.0""",Orthodox,28,19,0,0,3.17,40%,3.05,58%,1.16,38%,65%,0.4,47,FeatherWeight,3571
Aljamain,Sterling,Funk Master,"5' 7""",145 lbs.,"71.0""",Orthodox,23,4,0,0,4.73,52%,2.41,58%,1.97,24%,45%,0.8,27,FeatherWeight,3572
Marc,Stevens,,"5' 9""",155 lbs.,--,,21,10,0,0,0.45,26%,1.79,46%,0.00,0%,0%,0.0,31,LightWeight,3573
Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0,0,2.05,44%,2.44,60%,2.75,44%,39%,2.2,49,FeatherWeight,3574
Maia,Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0,0,1.57,54%,3.13,33%,3.91,100%,50%,0.0,11,StrawWeight,3575
Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,0,3.75,56%,2.34,53%,3.75,33%,50%,1.9,9,WelterWeight,3576
Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0,0,3.05,45%,3.29,48%,1.75,45%,67%,0.1,20,LightHeavyWeight,3577
Kyle,Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0,0,1.41,35%,2.42,43%,1.32,20%,60%,0.0,14,WelterWeight,3578
Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1,0,1.77,42%,1.45,52%,0.35,66%,66%,0.7,31,LightHeavyWeight,3579
Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0,0,2.80,23%,4.60,56%,0.50,100%,0%,0.5,40,WelterWeight,3580
Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0,0,2.97,46%,4.42,37%,0.78,100%,100%,0.0,17,WelterWeight,3581
Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,0,1.82,29%,1.97,59%,0.00,0%,0%,0.0,17,FeatherWeight,3582
Denis,Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0,0,1.51,23%,6.06,36%,0.00,0%,80%,1.0,16,HeavyWeight,3583
Julija,Stoliarenko,,"5' 7""",125 lbs.,"66.0""",Orthodox,11,9,2,0,2.49,39%,4.54,46%,0.93,27%,54%,1.7,22,FlyWeight,3584
Dustin,Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,15,5,0,0,3.49,44%,3.29,48%,2.40,40%,46%,0.7,20,MiddleWeight,3585
Niklas,Stolze,Green Mask,"6' 1""",155 lbs.,"74.0""",Switch,12,6,0,0,2.12,48%,2.25,49%,0.66,100%,55%,0.7,18,LightWeight,3586
Ken,Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0,0,3.85,49%,2.90,48%,1.24,33%,60%,0.6,15,BantamWeight,3587
Ryan,Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0,0,2.53,36%,2.53,71%,0.00,0%,0%,0.0,9,WelterWeight,3588
George,Stork,,"5' 10""",185 lbs.,--,,7,9,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,16,MiddleWeight,3589
Rick,Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0,0,3.80,41%,2.17,62%,2.53,48%,63%,0.9,28,WelterWeight,3590
Darko,Stosic,,"6' 0""",205 lbs.,"76.0""",Orthodox,13,4,0,0,2.61,45%,4.04,58%,3.42,50%,83%,0.0,17,LightHeavyWeight,3591
Greg,Stott,Ranger,"5' 7""",220 lbs.,--,Southpaw,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,3592
Curtis,Stout,,"6' 1""",185 lbs.,--,Southpaw,11,12,1,0,0.69,67%,3.20,29%,0.00,0%,20%,0.0,24,MiddleWeight,3593
Sam,Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,20,12,1,0,4.17,28%,4.08,57%,0.63,38%,77%,0.1,33,LightWeight,3594
Tim,Stout,,"5' 11""",185 lbs.,--,,12,10,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,22,MiddleWeight,3595
Jesse,Strader,Sui Generis,"5' 7""",135 lbs.,"70.0""",Orthodox,5,3,0,0,5.03,51%,5.28,47%,3.87,57%,100%,0.0,8,BantamWeight,3596
Gennaro,Strangis,,--,--,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,3597
Dave,Strasser,,"5' 10""",170 lbs.,--,Orthodox,25,8,0,0,3.04,45%,1.88,59%,0.72,33%,33%,0.0,33,WelterWeight,3598
Daniel,Straus,,"5' 7""",145 lbs.,"71.0""",,24,7,0,0,4.76,43%,2.99,57%,0.84,15%,81%,1.1,31,FeatherWeight,3599
Gerald,Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0,0,0.00,0%,4.00,38%,0.00,0%,0%,16.4,16,LightWeight,3600
Sean,Strickland,,"6' 1""",185 lbs.,"76.0""",Orthodox,28,6,0,0,5.91,41%,4.33,62%,0.85,64%,77%,0.2,34,MiddleWeight,3601
Mark,Striegl,Mugen,"5' 8""",145 lbs.,"70.0""",Southpaw,18,4,0,0,1.40,45%,4.07,40%,0.00,0%,66%,0.0,22,FeatherWeight,3602
Hans,Stringer,,"6' 3""",205 lbs.,--,Orthodox,22,8,3,0,3.16,61%,2.84,41%,2.40,36%,62%,0.0,33,LightHeavyWeight,3603
Stefan,Struve,Skyscraper,"6' 11""",265 lbs.,"84.0""",Orthodox,33,13,0,0,3.12,47%,4.04,46%,0.56,46%,55%,1.7,46,HeavyWeight,3604
Josh,Stuart,,"5' 9""",160 lbs.,--,,1,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,WelterWeight,3605
Mike,Stumpf,,"5' 10""",170 lbs.,--,,11,4,0,0,3.34,43%,8.85,47%,1.59,25%,33%,0.8,15,WelterWeight,3606
Kyle,Sturgeon,,"6' 3""",225 lbs.,--,Switch,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,3607
Tatiana,Suarez,,"5' 5""",115 lbs.,"66.0""",Southpaw,11,0,0,0,4.27,63%,1.38,51%,6.20,61%,100%,0.9,11,StrawWeight,3608
Masanori,Suda,,"5' 9""",183 lbs.,--,Orthodox,22,11,3,0,1.80,50%,1.20,63%,0.00,0%,60%,0.0,36,MiddleWeight,3609
Genki,Sudo,Neo-Samurai,"5' 9""",155 lbs.,--,Orthodox,15,4,2,0,1.55,39%,2.23,33%,3.58,60%,50%,4.2,21,LightWeight,3610
Lucasz,Sudolski,,"6' 4""",205 lbs.,"75.0""",Orthodox,8,1,0,0,5.70,67%,4.89,28%,0.00,0%,100%,0.0,9,LightHeavyWeight,3611
Daisuke,Sugie,Amazon,"5' 6""",160 lbs.,--,Orthodox,10,8,1,0,0.00,0%,0.22,80%,3.27,50%,0%,3.3,19,WelterWeight,3612
Takashi,Sugiura,,"5' 11""",225 lbs.,--,Southpaw,1,3,0,0,1.37,40%,2.08,53%,1.33,66%,0%,0.0,4,HeavyWeight,3613
Naho,Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,--,,12,5,0,0,2.59,48%,2.45,71%,2.05,100%,66%,0.0,17,StrawWeight,3614
George,Sullivan,The Silencer,"6' 0""",170 lbs.,"73.0""",Orthodox,17,7,0,0,3.53,39%,2.42,57%,1.37,20%,38%,0.7,24,WelterWeight,3615
Amar,Suloev,,"5' 9""",183 lbs.,--,Orthodox,24,7,0,0,1.98,37%,2.19,70%,0.27,100%,88%,0.3,31,MiddleWeight,3616
Magomed,Sultanakhmedov,,"6' 2""",185 lbs.,--,Southpaw,18,6,0,0,0.00,0%,2.40,42%,9.00,100%,0%,9.0,24,MiddleWeight,3617
Justin,Sumter,,"6' 2""",185 lbs.,"80.0""",Southpaw,7,3,0,0,2.68,48%,7.64,34%,2.87,100%,0%,0.0,10,MiddleWeight,3618
,Sumudaerji,The Tibetan Eagle,"5' 8""",125 lbs.,"72.0""",Southpaw,16,6,0,0,4.64,54%,2.73,61%,0.29,100%,66%,0.6,22,FlyWeight,3619
Kyu,Sung Kim,,--,125 lbs.,--,,12,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,17,FlyWeight,3620
Rama,Supandhi,Hellboy,"5' 5""",125 lbs.,"66.0""",Southpaw,8,4,0,0,2.20,42%,3.53,48%,1.00,11%,0%,0.0,12,FlyWeight,3621
Aji,Susilo,,"5' 10""",155 lbs.,--,,6,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,10,LightWeight,3622
Jason,Suttie,Nobunaga,"6' 0""",210 lbs.,--,Orthodox,0,1,0,0,2.07,83%,4.97,36%,0.00,0%,0%,0.0,1,HeavyWeight,3623
Joel,Sutton,,"5' 11""",205 lbs.,--,Orthodox,2,4,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,LightHeavyWeight,3624
Chad,Sutton,,"6' 1""",185 lbs.,--,,2,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,4,MiddleWeight,3625
Danilo,Suzart,,"6' 0""",260 lbs.,--,Orthodox,9,2,0,0,4.09,55%,11.73,51%,0.00,0%,0%,0.0,11,HeavyWeight,3626
Martin,Svensson,,"6' 1""",155 lbs.,--,,15,6,0,0,2.02,38%,5.91,38%,0.00,0%,0%,0.0,21,LightWeight,3627
Daniel,Swain,,"5' 9""",145 lbs.,"70.0""",Orthodox,20,10,1,0,0.80,44%,3.20,40%,0.00,0%,0%,6.0,31,FeatherWeight,3628
Cub,Swanson,,"5' 8""",145 lbs.,"70.0""",Orthodox,29,13,0,0,4.70,50%,3.84,59%,1.09,52%,61%,0.4,42,FeatherWeight,3629
Mike,Swick,Quick,"6' 1""",170 lbs.,"77.0""",Orthodox,15,6,0,0,2.36,37%,2.29,54%,1.06,50%,61%,0.6,21,WelterWeight,3630
